Neighborhood,Sex Offences,Assaults,Robbery,Break & Enter,Auto Theft,Other Theft,Offensive Weapons,Cluster Labels
VPD Arbutus Ridge ,0.009523809523809523,0.0037777777777777783,0.001607717041800643,0.016613418530351438,0.00939306358381503,0.006240884577553165,0.0,5
VPD Central_Business_District,0.3161904761904762,0.4042222222222222,0.4147909967845659,0.16996805111821087,0.13367052023121387,0.3723501678933623,0.537122969837587,3
VPD Dunbar-Southlands,0.011428571428571429,0.003555555555555556,0.003215434083601286,0.01810436634717785,0.00939306358381503,0.008954312654750196,0.002320185614849188,5
VPD Fairview,0.049523809523809526,0.026444444444444444,0.02090032154340836,0.06751863684771033,0.03468208092485549,0.0600006783570193,0.019721577726218097,1
VPD Grandview-Woodland,0.05904761904761905,0.05244444444444445,0.056270096463022515,0.062193823216187424,0.08815028901734104,0.040633585456025516,0.024361948955916472,1
VPD Hastings-Sunrise,0.051428571428571435,0.026222222222222227,0.01929260450160772,0.04195953141640043,0.06141618497109826,0.03106875148390598,0.008120649651972156,6
VPD Kensington-Cedar_Cottage,0.051428571428571435,0.034444444444444444,0.03858520900321544,0.04387646432374867,0.062138728323699426,0.0369026218498796,0.025522041763341063,1
VPD Kerrisdale,0.005714285714285714,0.004,0.00482315112540193,0.029392971246006386,0.016618497109826588,0.008513380592205678,0.0034802784222737818,5
VPD Killarney,0.02095238095238095,0.011111111111111113,0.006430868167202572,0.016400425985090526,0.02745664739884393,0.01400807244852966,0.008120649651972156,5
VPD Kitsilano,0.0380952380952381,0.020444444444444446,0.01607717041800643,0.05410010649627263,0.04407514450867052,0.039276871417426994,0.010440835266821344,6
VPD Marpole,0.017142857142857144,0.017333333333333333,0.017684887459807074,0.042172523961661344,0.02601156069364162,0.02055421768476749,0.012761020881670531,6
VPD Mount-Pleasant,0.05333333333333334,0.050888888888888886,0.04662379421221865,0.08072417465388712,0.0838150289017341,0.06610589153071261,0.04060324825986079,1
VPD Musqueam,0.007619047619047619,0.0024444444444444444,0.0,0.00021299254526091586,0.0028901734104046237,0.00037309636061459147,0.001160092807424594,5
VPD Oakridge,0.005714285714285714,0.006,0.003215434083601286,0.031309904153354634,0.02095375722543353,0.012549604857036259,0.0058004640371229705,5
VPD Renfrew-Collingwood,0.022857142857142857,0.03177777777777778,0.04983922829581994,0.044515441959531415,0.08164739884393063,0.04450022046603127,0.019721577726218097,1
VPD Riley_Park,0.028571428571428567,0.011333333333333334,0.012861736334405145,0.03578274760383387,0.046965317919075135,0.024895702608282742,0.011600928074245941,6
VPD Shaughnessy,0.011428571428571429,0.0022222222222222227,0.0,0.02406815761448349,0.00939306358381503,0.005698198962113761,0.001160092807424594,5
VPD South_Cambie,0.005714285714285714,0.0051111111111111105,0.006430868167202572,0.017678381256656016,0.007947976878612716,0.010141437438523896,0.004640371229698376,5
VPD Stanley_Park,0.007619047619047619,0.0024444444444444444,0.003215434083601286,0.002342917997870075,0.002167630057803468,0.0059356239188685005,0.0,5
VPD Strathcona,0.08,0.16311111111111112,0.1720257234726688,0.07263045793397231,0.07297687861271676,0.05202998338025303,0.21693735498839908,0
VPD Sunset,0.02095238095238095,0.027777777777777776,0.01929260450160772,0.03343982960596379,0.04841040462427745,0.02384424922836889,0.01508120649651972,6
VPD Victoria-Fraserview,0.02095238095238095,0.010222222222222223,0.01929260450160772,0.014909478168264113,0.02384393063583815,0.015093443679408472,0.0058004640371229705,5
VPD West_End,0.09904761904761904,0.07711111111111113,0.06752411575562701,0.065814696485623,0.07514450867052024,0.09117118339382016,0.024361948955916472,2
VPD West_Point_Grey,0.005714285714285714,0.005555555555555557,0.0,0.014270500532481363,0.01083815028901734,0.009157819760539972,0.001160092807424594,5
TPS D11,0.042893725992317534,0.03979769505016168,0.05378787878787879,0.044556962025316456,0.04921968787515006,0.06013518221726709,0.04690431519699812,1
TPS D12,0.05057618437900128,0.04601608490174944,0.032575757575757584,0.032911392405063286,0.11164465786314526,0.05037976447634311,0.048155096935584736,1
TPS D13,0.040973111395646605,0.033745128927949584,0.04924242424242424,0.06278481012658227,0.06362545018007203,0.03226256010034144,0.02689180737961226,1
TPS D14,0.0736235595390525,0.0736257358427991,0.05530303030303031,0.10075949367088607,0.051620648259303716,0.05560588112326667,0.050656660412757966,2
TPS D22,0.051856594110115235,0.04983003067738993,0.06136363636363636,0.05822784810126583,0.03841536614645858,0.059368685109051626,0.057535959974984376,1
TPS D23,0.061459667093469915,0.04609899676643728,0.06742424242424243,0.022278481012658228,0.0624249699879952,0.03177478921329524,0.033145716072545336,1
TPS D31,0.08642765685019206,0.08092197993532875,0.0803030303030303,0.05721518987341773,0.07202881152460984,0.056860149118528325,0.08755472170106318,1
TPS D32,0.061459667093469915,0.0639250476743222,0.04772727272727273,0.0359493670886076,0.08163265306122447,0.07574385060274545,0.06316447779862414,1
TPS D33,0.03777208706786172,0.039714783185473834,0.030303030303030307,0.012658227848101266,0.050420168067226885,0.03595568253083409,0.02626641651031895,6
TPS D41,0.07682458386683738,0.0742890307603018,0.06818181818181818,0.06886075949367089,0.040816326530612235,0.0912131558776392,0.07442151344590367,2
TPS D42,0.05441741357234315,0.05596550866428986,0.07348484848484849,0.04962025316455696,0.06602641056422569,0.044526513831788725,0.031269543464665414,1
TPS D43,0.08322663252240718,0.09833347151977448,0.1143939393939394,0.10632911392405064,0.11524609843937575,0.0759528952686224,0.09943714821763602,0
TPS D51,0.0793854033290653,0.09584611557913936,0.09242424242424242,0.1139240506329114,0.061224489795918366,0.07671939237683785,0.14446529080675422,0
TPS D52,0.07298335467349552,0.0749523256778045,0.05606060606060606,0.08810126582278481,0.051620648259303716,0.12270921886976514,0.10193871169480924,2
TPS D53,0.040332906530089634,0.04070972556172788,0.04015151515151515,0.06430379746835442,0.03601440576230492,0.056860149118528325,0.032520325203252036,1
TPS D54/D55,0.08578745198463507,0.0862283392753503,0.07727272727272727,0.08151898734177215,0.04801920768307323,0.07393213016514529,0.07567229518449031,2
SPVM 1.0,0.011241696474195196,0.0061016949152542365,0.0071219103477167985,0.00986559908492994,0.015274242073594076,0.008459315716738558,0.008720930232558141,5
SPVM 3.0,0.025549310168625446,0.029679849340866288,0.016757436112274822,0.025021446954532456,0.01990280027771349,0.011977050965283304,0.017441860465116282,6
SPVM 4.0,0.012774655084312723,0.012580037664783428,0.012987012987012988,0.010580497569345154,0.01388567461235825,0.007956782109803592,0.005813953488372093,5
SPVM 5.0,0.022483392948390392,0.021393596986817327,0.020946795140343533,0.02688018301401201,0.040499884286044896,0.02525231374848193,0.020348837209302327,6
SPVM 7.0,0.0342360756259581,0.033145009416195866,0.03058232090490155,0.03874749785530455,0.08724832214765099,0.03165961723690272,0.01453488372093023,1
SPVM 8.0,0.02963719979560552,0.03932203389830508,0.02178466694595727,0.021160995138690308,0.01596852580421199,0.01721177603752251,0.02906976744186046,6
SPVM 9.0,0.005620848237097598,0.006704331450094162,0.006284038542103058,0.009722619388046895,0.010414255959268688,0.007496126303446544,0.005813953488372093,5
SPVM 11.0,0.022483392948390392,0.033672316384180785,0.034771679932970256,0.024878467257649414,0.020365656098125438,0.020687633485489344,0.02906976744186046,6
SPVM 13.0,0.03168114460909555,0.03969868173258004,0.03225806451612903,0.030168716042321988,0.022911363110391117,0.030319527618409482,0.011627906976744186,6
SPVM 26.0,0.04190086867654573,0.04971751412429379,0.060326770004189366,0.05190162996854448,0.059708400833140475,0.05816826500272205,0.0377906976744186,1
SPVM 55.0,0.001021972406745018,0.0021092278719397365,0.0,0.00014297969688304262,0.0,0.006281670086687047,0.18313953488372087,4
SPVM 12.0,0.016862544711292796,0.01664783427495292,0.022203602848764138,0.02287675150128682,0.009719972228650776,0.028267515390091712,0.011627906976744186,5
SPVM 15.0,0.04292284108329075,0.04421845574387948,0.03728529534981148,0.04904203603088361,0.020134228187919462,0.03341848486117509,0.04651162790697674,6
SPVM 16.0,0.021972406745017884,0.031261770244821095,0.025555090071219103,0.031598513011152414,0.014811386253182134,0.020938900288956824,0.017441860465116282,6
SPVM 20.0,0.041389882473173226,0.03954802259887006,0.04063678257226645,0.03574492422076065,0.023142791020597082,0.11252565015285396,0.04651162790697674,2
SPVM 21.0,0.0403679100664282,0.053408662900188315,0.06702974444909929,0.035458964826994566,0.028234205045128438,0.09811968675405168,0.07267441860465118,2
SPVM 22.0,0.03321410321921308,0.02922787193973635,0.036447423544197735,0.03831855876465542,0.01943994445730155,0.03408852967042171,0.02325581395348837,6
SPVM 50.0,0.02401635155850792,0.021544256120527308,0.01968998743192292,0.0025736345438947673,0.0,0.007244859499979061,0.0029069767441860465,5
SPVM 10.0,0.015840572304547777,0.01702448210922787,0.02346041055718475,0.01758650271661424,0.03818560518398519,0.01892876586121697,0.005813953488372093,5
SPVM 27.0,0.033725089422585584,0.028323917137476458,0.025555090071219103,0.03174149270803546,0.045591298310576255,0.028728171196448764,0.02616279069767442,6
SPVM 30.0,0.0342360756259581,0.030885122410546136,0.03058232090490155,0.018730340291678586,0.03679703772274937,0.024331002135767832,0.0436046511627907,6
SPVM 31.0,0.017884517118037808,0.02259887005649717,0.02890657729367407,0.03560194452387761,0.03193705160842398,0.019473177268729845,0.02616279069767442,6
SPVM 33.0,0.016862544711292796,0.019962335216572504,0.018433179723502304,0.008578781812982557,0.01712566535524184,0.008919971523095606,0.011627906976744186,5
SPVM 35.0,0.02095043433827286,0.02018832391713748,0.029325513196480937,0.051329711181012296,0.025457070122656796,0.029272582603961636,0.0,6
SPVM 38.0,0.06182933060807357,0.06531073446327684,0.08127356514453289,0.10923648841864456,0.03563989817171951,0.08480254617027512,0.034883720930232565,2
SPVM 44.0,0.042411854879918234,0.03954802259887006,0.03770423125261835,0.04475264512439234,0.028697060865540382,0.03643368650278488,0.02906976744186046,6
SPVM 23.0,0.03679100664282065,0.02787193973634652,0.03519061583577713,0.035458964826994566,0.0222170793797732,0.027932492985468405,0.02906976744186046,6
SPVM 39.0,0.05518650996423097,0.07563088512241055,0.05236698785085882,0.044323706033743214,0.07104836843323305,0.0312827170317015,0.08430232558139535,1
SPVM 42.0,0.025549310168625446,0.03465160075329567,0.032677000418935905,0.027023162710895055,0.06757694978014349,0.03295782905481804,0.040697674418604654,6
SPVM 45.0,0.021461420541645376,0.019887005649717515,0.020946795140343533,0.015012868172719475,0.03587132608192548,0.0131915071820428,0.020348837209302327,5
SPVM 46.0,0.021972406745017884,0.016271186440677966,0.01968998743192292,0.01486988847583643,0.0277713492247165,0.02470790234096905,0.008720930232558141,5
SPVM 48.0,0.0740929994890138,0.0488135593220339,0.049434436531210726,0.051186731484129264,0.058088405461698675,0.03911386573977135,0.02906976744186046,1
SPVM 49.0,0.06182933060807357,0.02305084745762712,0.02178466694595727,0.029882756648555907,0.03633418190233742,0.01985007747393107,0.02616279069767442,6
