Neighbourhood,Sex Offences,Assaults,Robbery,B&E,Theft of MV,Theft from Auto,Theft<>$5K,Arson,Mischief,Offensive Weapons
Arbutus Ridge ,5,17,1,78,13,91,93,7,33,0
Central_Business_District,166,1819,258,798,185,6221,4757,62,1580,463
Dunbar-Southlands,6,16,2,85,13,167,97,2,64,2
Fairview,26,119,13,317,48,851,918,7,254,17
Grandview-Woodland,31,236,35,292,122,673,525,9,334,21
Hastings-Sunrise,27,118,12,197,85,656,260,2,207,7
Kensington-Cedar_Cottage,27,155,24,206,86,652,436,7,263,22
Kerrisdale,3,18,3,138,23,150,101,4,46,3
Killarney,11,50,4,77,38,248,165,2,80,7
Kitsilano,20,92,10,254,61,612,546,9,212,9
Marpole,9,78,11,198,36,334,272,6,100,11
Mount-Pleasant,28,229,29,379,116,862,1087,17,288,35
Musqueam,4,11,0,1,4,4,7,0,3,1
Oakridge,3,27,2,147,29,171,199,6,53,5
Renfrew-Collingwood,12,143,31,209,113,670,642,7,213,17
Riley_Park,15,51,8,168,65,416,318,5,95,10
Shaughnessy,6,10,0,113,13,109,59,5,30,1
South_Cambie,3,23,4,83,11,152,147,1,47,4
Stanley_Park,4,11,2,11,3,121,54,3,19,0
Strathcona,42,734,107,341,101,841,693,60,442,187
Sunset,11,125,12,157,67,396,307,3,159,13
Victoria-Fraserview,11,46,12,70,33,307,138,6,98,5
West_End,52,347,42,309,104,1554,1134,17,385,21
West_Point_Grey,3,25,0,67,15,173,97,2,53,1
GRAND_TOTAL,525,4500,622,4695,1384,16431,13052,249,5058,862
